Year,CPI,percentage_cpi,PCE_food_billions_of_dollars,PCE_energy_goods_services_billions_of_dollars,PCE_food_percentage,PCE_energy_goods_services_percentage,GDP_in_Billions,percentage_gdp,median_household_income_2021,percentage_median_income,GDP,percentage_percap_gdp,first_percentile,second_percentile,third_percentile,fourth_percentile,fifth_percentile,top_five_percent,cpi_change,pce_food_change,pce_energy_change,gdp_change,median_income_change,gdp_percap_change,first_change,second_change,third_change,fourth_change,fifth_change,top_five_change
1984,103.9,,291.1,193.0916667,,,4037.614,,54744.62,,31762,,5436,13540,22438,33784,62121,93774,0,0,0,0,0,0,0,0,0,0,0,0
1985,107.6,3.56,302.95,199.5416667,4.07,3.34,4338.9805,7.46,55768.24,1.87,32920,0.78,5614,14227,23615,35522,66353,102354,3.7,11.85,6.45,301.3665,1023.62,1158,178,687,1177,1738,4232,8580
1986,109.6,1.86,316.4166667,178.5833333,4.45,-10.5,4579.6325,5.55,57777.04,3.6,33972,0.73,5774,14853,24855,37443,70871,111024,5.7,25.3166667,-14.5083334,542.0185,3032.42,2210,338,1313,2417,3659,8750,17250
1987,113.6,3.65,324.3166667,185.3416667,2.5,3.78,4855.21625,6.02,58467.08,1.19,34585,0.55,6132,15584,26055,39383,74897,118000,9.7,33.2166667,-7.75,817.60225,3722.46,2823,696,2044,3617,5599,12776,24226
1988,118.3,4.14,342.7916667,194.075,5.7,4.71,5236.438,7.85,58949.27,0.82,35728,0.32,6465,16317,27291,41254,78759,124215,14.4,51.6916667,0.9833333,1198.824,4204.65,3966,1029,2777,4853,7470,16638,30441
1989,124,4.82,365.3916667,209.3333333,6.59,7.86,5641.5795,7.74,59967.7,1.73,36929,0.81,6994,17401,28925,43753,85529,138185,20.1,74.2916667,16.2416666,1603.9655,5223.08,5167,1558,3861,6487,9969,23408,44411
1990,130.7,5.4,391.1916667,222.9583333,7.06,6.51,5963.1445,5.7,59199.72,-1.28,37593,0.86,7166,18030,29781,44901,87137,138756,26.8,100.0916667,29.8666666,1925.5305,4455.1,5831,1730,4490,7343,11117,25016,44982
1991,136.2,4.21,402.9416667,226.0666667,3,1.39,6158.12925,3.27,57470.47,-2.92,36746,-0.77,7226,18150,30148,45957,88127,137530,32.3,111.8416667,32.975,2120.51525,2725.85,4984,1790,4610,7710,12173,26006,43756
1992,140.3,3.01,404.475,231.3833333,0.38,2.35,6520.32725,5.88,57025.69,-0.77,37304,0.9,7256,18181,30631,47021,91110,144608,36.4,113.375,38.2916666,2482.71325,2281.07,5542,1820,4641,8193,13237,28989,50834
1993,144.5,2.99,413.4666667,241.95,2.22,4.57,6858.5585,5.19,56721.2,-0.53,38029,-0.13,7359,18656,31272,48599,101253,173784,40.6,122.3666667,48.8583333,2820.9445,1976.58,6267,1923,5116,8834,14815,39132,80010
1994,148.2,2.56,432.1,246.3833333,4.51,1.83,7287.2365,6.25,57380.06,1.16,38852,0.7,7714,19224,32385,50395,105945,183044,44.3,141,53.2916666,3249.6225,2635.44,7090,2278,5684,9947,16611,43824,89270
1995,152.4,2.83,443.7416667,251.6833333,2.69,2.15,7639.74925,4.84,59177.9,3.13,39729,0.09,8345,20397,34106,52429,109411,188828,48.5,152.6416667,58.5916666,3602.13525,4433.28,7967,2909,6857,11668,18645,47290,95054
1996,156.9,2.95,461.875,269.6833333,4.09,7.15,8073.12175,5.67,60037.33,1.45,40292,0.5,8595,21097,35486,54922,115514,201220,53,170.775,76.5916666,4035.50775,5292.71,8530,3159,7557,13048,21138,53393,107446
1997,160.5,2.29,474.7666667,274.2416667,2.79,1.69,8577.5525,6.25,61272.95,2.06,41532,0.38,8839,22098,37177,57582,122764,215436,56.6,183.6666667,81.15,4539.9385,6528.33,9770,3403,8558,14739,23798,60643,121662
1998,163,1.56,487.4333333,257.4416667,2.67,-6.13,9062.81675,5.66,63524.92,3.68,43035,0.74,9223,23288,38967,60266,127529,222283,59.1,196.3333333,64.35,5025.20275,8780.3,11273,3787,9748,16529,26482,65408,128509
1999,166.6,2.21,515.5166667,272.35,5.76,5.79,9631.17175,6.27,65097.25,2.48,44600,0.69,9915,24345,40750,63423,135250,235077,62.7,224.4166667,79.2583333,5593.55775,10352.63,12838,4479,10805,18312,29639,73129,141303
2000,172.2,3.36,540.5666667,322.1333333,4.86,18.28,10250.952,6.44,64963.19,-0.21,45944,0.11,10157,25361,42233,65653,142269,252400,68.3,249.4666667,129.0416666,6213.338,10218.57,14182,4721,11821,19795,31869,80148,158626
2001,177.1,2.85,564,327.5833333,4.33,1.69,10581.929,3.23,63522.84,-2.22,46531,-0.51,10136,25468,42629,66839,145970,260464,73.2,272.9,134.4916666,6544.315,8778.22,14769,4700,11928,20191,33055,83849,166690
2002,179.9,1.58,575.05,313.5416667,1.96,-4.29,10929.10825,3.28,62804.75,-1.13,46690,0.66,9990,25400,42802,67326,143743,251010,76,283.95,120.45,6891.49425,8060.13,14928,4554,11860,20364,33542,81622,157236
2003,184,2.28,599.5916667,356.775,4.27,13.79,11456.4495,4.83,62726.8,-0.12,47078,0.35,9996,25678,43588,68994,147078,253239,80.1,308.4916667,163.6833333,7418.8355,7982.18,15316,4560,12138,21150,35210,84957,159465
2004,188.9,2.66,632.6,400.8416667,5.51,12.35,12217.19575,6.64,62508.57,-0.35,48663,0.34,10244,26212,44411,70026,151438,263896,85,341.5,207.75,8179.58175,7763.95,16901,4808,12672,21973,36242,89317,170122
2005,195.3,3.39,668.2333333,473.65,5.63,18.16,13039.197,6.73,63177.82,1.07,50081,0.89,10655,27357,46301,72825,159583,281155,91.4,377.1333333,280.5583333,9001.583,8433.2,18319,5219,13817,23863,39041,97462,187381
2006,201.6,3.23,700.2583333,520.35,4.79,9.86,13815.583,5.95,63670.41,0.78,51277,1.11,11352,28777,48223,76329,168170,297405,97.7,409.1583333,327.2583333,9777.969,8925.79,19515,5916,15237,25785,42545,106049,203631
2007,207.342,2.85,737.3333333,555.7166667,5.29,6.8,14474.227,4.77,64524.64,1.34,51540,0.02,11551,29442,49968,79111,167971,287191,103.442,446.2333333,362.625,10436.613,9780.02,19778,6115,15902,27530,45327,105850,193417
2008,215.303,3.84,769.0833333,614.675,4.31,10.61,14769.8615,2.04,62224.87,-3.56,51637,-0.79,11656,29517,50132,79760,171057,294709,111.403,477.9833333,421.5833333,10732.2475,7480.25,19875,6220,15977,27694,45976,108936,200935
2009,214.537,-0.36,772.925,502.225,0.5,-18.29,14478.06675,-1.98,61789.44,-0.7,49491,-1.32,11552,29257,49534,78694,170844,295388,110.637,481.825,309.1333333,10440.45275,7044.82,17729,6116,15717,27096,44910,108723,201614
2010,218.056,1.64,786.8666667,558.1333333,1.8,11.13,15048.97,3.94,60174.5,-2.61,49903,0.18,10994,28532,49167,78877,169391,287201,114.156,495.7666667,365.0416666,11011.356,5429.88,18141,5558,14992,26729,45093,107270,193427
2011,224.939,3.16,819.5416667,632.675,4.15,13.36,15599.73175,3.66,59256.88,-1.52,50495,-0.4,11239,29204,49842,80080,178020,311444,121.039,528.4416667,439.5833333,11562.11775,4512.26,18733,5803,15664,27404,46296,115899,217670
2012,229.594,2.07,846.2,629.5583333,3.25,-0.49,16253.97,4.19,59143.6,-0.19,51468,0.62,11490,29696,51179,82098,181905,318052,125.694,555.1,436.4666666,12216.356,4398.98,19706,6054,16156,28741,48314,119784,224278
2013,232.957,1.46,864,638.0833333,2.1,1.35,16843.19575,3.63,61213.71,3.5,51921,0.74,11594,30812,53741,86473,193352,334465,129.057,572.9,444.9916666,12805.58175,6469.09,20159,6158,17272,31303,52689,131231,240691
2013,232.957,1.46,864,638.0833333,2.1,1.35,16843.19575,3.63,61213.71,3.5,51921,0.74,11651,30509,52322,83519,185206,322343,129.057,572.9,444.9916666,12805.58175,6469.09,20159,6215,16969,29884,49735,123085,228569
2014,236.736,1.62,896.875,635.525,3.8,-0.4,17550.68775,4.2,60275.31,-1.53,52293,-0.44,11676,31087,54041,87834,194053,332347,132.836,605.775,442.4333333,13513.07375,5530.69,20531,6240,17547,31603,54050,131932,238573
2015,237.017,0.12,920.9583333,535.1083333,2.69,-15.8,18206.0235,3.73,63378.39,5.15,54071,0.79,12457,32631,56832,92031,202366,350870,133.117,629.8583333,342.0166666,14168.4095,8633.77,22309,7021,19091,34394,58247,140245,257096
2016,240.007,1.26,940.6416667,496.4666667,2.14,-7.22,18695.10575,2.69,65364.32,3.13,54640,0.4,12943,34504,59149,95178,213941,375088,136.107,649.5416667,303.375,14657.49175,10619.7,22878,7507,20964,36711,61394,151820,281314
2017,245.12,2.13,973.0583333,534.6333333,3.45,7.69,19479.6225,4.2,66261.16,1.37,55401,0.43,13332,35502,61348,99014,229009,406356,141.22,681.9583333,341.5416666,15442.0085,11516.54,23639,7896,21962,38910,65230,166888,312582
2017,245.12,2.13,973.0583333,534.6333333,3.45,7.69,19479.6225,4.2,66261.16,1.37,55401,0.43,13258,35401,61564,99030,221846,385289,141.22,681.9583333,341.5416666,15442.0085,11516.54,23639,7822,21861,39126,65246,159725,291515
2018,251.107,2.44,1000.35,594.45,2.8,11.19,20527.15875,5.38,66846.24,0.88,56785,0.82,13775,37293,63572,101570,233895,416520,147.207,709.25,401.3583333,16489.54475,12101.62,25023,8339,23753,41134,67786,171774,322746
2019,255.657,1.81,1030.916667,577.7333333,3.06,-2.81,21372.58225,4.12,71396.95,6.81,57789,0.63,15286,40652,68938,111112,254449,451122,151.757,739.816667,384.6416666,17334.96825,16652.33,26027,9850,27112,46500,77328,192328,357348
